id,name,description,mun_red,CO_REGSAUD
1100015,Alta Floresta D'Oeste,Alta Floresta D'Oeste,110001,11005
1100023,Ariquemes,Ariquemes,110002,11001
1100031,Cabixi,Cabixi,110003,11006
1100049,Cacoal,Cacoal,110004,11002
1100056,Cerejeiras,Cerejeiras,110005,11006
1100064,Colorado do Oeste,Colorado do Oeste,110006,11006
1100072,Corumbiara,Corumbiara,110007,11006
1100080,Costa Marques,Costa Marques,110008,11007
1100098,Espigão D'Oeste,Espigão D'Oeste,110009,11002
1100106,Guajará-Mirim,Guajará-Mirim,110010,11004
1100114,Jaru,Jaru,110011,11003
1100122,Ji-Paraná,Ji-Paraná,110012,11003
1100130,Machadinho D'Oeste,Machadinho D'Oeste,110013,11001
1100148,Nova Brasilândia D'Oeste,Nova Brasilândia D'Oeste,110014,11005
1100155,Ouro Preto do Oeste,Ouro Preto do Oeste,110015,11003
1100189,Pimenta Bueno,Pimenta Bueno,110018,11002
1100205,Porto Velho,Porto Velho,110020,11004
1100254,Presidente Médici,Presidente Médici,110025,11003
1100262,Rio Crespo,Rio Crespo,110026,11001
1100288,Rolim de Moura,Rolim de Moura,110028,11005
1100296,Santa Luzia D'Oeste,Santa Luzia D'Oeste,110029,11005
1100304,Vilhena,Vilhena,110030,11006
1100320,São Miguel do Guaporé,São Miguel do Guaporé,110032,11003
1100338,Nova Mamoré,Nova Mamoré,110033,11004
1100346,Alvorada D'Oeste,Alvorada D'Oeste,110034,11003
1100379,Alto Alegre dos Parecis,Alto Alegre dos Parecis,110037,11005
1100403,Alto Paraíso,Alto Paraíso,110040,11001
1100452,Buritis,Buritis,110045,11001
1100502,Novo Horizonte do Oeste,Novo Horizonte do Oeste,110050,11005
1100601,Cacaulândia,Cacaulândia,110060,11001
1100700,Campo Novo de Rondônia,Campo Novo de Rondônia,110070,11001
1100809,Candeias do Jamari,Candeias do Jamari,110080,11004
1100908,Castanheiras,Castanheiras,110090,11005
1100924,Chupinguaia,Chupinguaia,110092,11006
1100940,Cujubim,Cujubim,110094,11001
1101005,Governador Jorge Teixeira,Governador Jorge Teixeira,110100,11003
